Inicio...
Resolving a Control stream...

Corrida N#:  0
[0, 0, 1, 1]
ts:  1969-12-31 22:39:27.282332 - 1969-12-31 22:39:27.291436
ts:  1969-12-31 22:39:27.286332 - 1969-12-31 22:39:27.291481
ts:  1969-12-31 22:39:27.290332 - 1969-12-31 22:39:27.291542
ts:  1969-12-31 22:39:27.281115 - 1969-12-31 22:39:27.317393
ts:  1969-12-31 22:39:27.285115 - 1969-12-31 22:39:27.317494
ts:  1969-12-31 22:39:27.289115 - 1969-12-31 22:39:27.317543
ts:  1969-12-31 22:39:27.293115 - 1969-12-31 22:39:27.317601
ts:  1969-12-31 22:39:27.297115 - 1969-12-31 22:39:27.317656
ts:  1969-12-31 22:39:27.301115 - 1969-12-31 22:39:27.317688
ts:  1969-12-31 22:39:27.305115 - 1969-12-31 22:39:27.317738
ts:  1969-12-31 22:39:27.309115 - 1969-12-31 22:39:27.317776
ts:  1969-12-31 22:39:27.313115 - 1969-12-31 22:39:27.317821
ts:  1969-12-31 22:39:27.317115 - 1969-12-31 22:39:27.317876
ts:  1969-12-31 22:39:27.307016 - 1969-12-31 22:39:27.344576
ts:  1969-12-31 22:39:27.311016 - 1969-12-31 22:39:27.345563
ts:  1969-12-31 22:39:27.315016 - 1969-12-31 22:39:27.345785
ts:  1969-12-31 22:39:27.319016 - 1969-12-31 22:39:27.345976
ts:  1969-12-31 22:39:27.323016 - 1969-12-31 22:39:27.346383
ts:  1969-12-31 22:39:27.327016 - 1969-12-31 22:39:27.346733
ts:  1969-12-31 22:39:27.331016 - 1969-12-31 22:39:27.347088
ts:  1969-12-31 22:39:27.335016 - 1969-12-31 22:39:27.347453
ts:  1969-12-31 22:39:27.339016 - 1969-12-31 22:39:27.347594
ts:  1969-12-31 22:39:27.343016 - 1969-12-31 22:39:27.347649
ts:  1969-12-31 22:39:27.337788 - 1969-12-31 22:39:27.375655
ts:  1969-12-31 22:39:27.341788 - 1969-12-31 22:39:27.376281
ts:  1969-12-31 22:39:27.345788 - 1969-12-31 22:39:27.376477
ts:  1969-12-31 22:39:27.349788 - 1969-12-31 22:39:27.376670
ts:  1969-12-31 22:39:27.353788 - 1969-12-31 22:39:27.376896
ts:  1969-12-31 22:39:27.357788 - 1969-12-31 22:39:27.377027
ts:  1969-12-31 22:39:27.361788 - 1969-12-31 22:39:27.377212
ts:  1969-12-31 22:39:27.365788 - 1969-12-31 22:39:27.377332
ts:  1969-12-31 22:39:27.369788 - 1969-12-31 22:39:27.377452
ts:  1969-12-31 22:39:27.373788 - 1969-12-31 22:39:27.377563
ts:  1969-12-31 22:39:27.365037 - 1969-12-31 22:39:27.402287
ts:  1969-12-31 22:39:27.369037 - 1969-12-31 22:39:27.402774
ts:  1969-12-31 22:39:27.373037 - 1969-12-31 22:39:27.403110
ts:  1969-12-31 22:39:27.377037 - 1969-12-31 22:39:27.403523
ts:  1969-12-31 22:39:27.381037 - 1969-12-31 22:39:27.403795
ts:  1969-12-31 22:39:27.385037 - 1969-12-31 22:39:27.404254
ts:  1969-12-31 22:39:27.389037 - 1969-12-31 22:39:27.404589
ts:  1969-12-31 22:39:27.393037 - 1969-12-31 22:39:27.404876
ts:  1969-12-31 22:39:27.397037 - 1969-12-31 22:39:27.405263
ts:  1969-12-31 22:39:27.401037 - 1969-12-31 22:39:27.405463
ts:  1969-12-31 22:39:27.391931 - 1969-12-31 22:39:27.428937
ts:  1969-12-31 22:39:27.395931 - 1969-12-31 22:39:27.429075
ts:  1969-12-31 22:39:27.399931 - 1969-12-31 22:39:27.429153
ts:  1969-12-31 22:39:27.403931 - 1969-12-31 22:39:27.429198
ts:  1969-12-31 22:39:27.407931 - 1969-12-31 22:39:27.429247
ts:  1969-12-31 22:39:27.411931 - 1969-12-31 22:39:27.429301
ts:  1969-12-31 22:39:27.415931 - 1969-12-31 22:39:27.429376
ts:  1969-12-31 22:39:27.419931 - 1969-12-31 22:39:27.429461
ts:  1969-12-31 22:39:27.423931 - 1969-12-31 22:39:27.429552
ts:  1969-12-31 22:39:27.427931 - 1969-12-31 22:39:27.429630
ts:  1969-12-31 22:39:27.418875 - 1969-12-31 22:39:27.455826
ts:  1969-12-31 22:39:27.422875 - 1969-12-31 22:39:27.457010
ts:  1969-12-31 22:39:27.426875 - 1969-12-31 22:39:27.457272
ts:  1969-12-31 22:39:27.430875 - 1969-12-31 22:39:27.457314
ts:  1969-12-31 22:39:27.434875 - 1969-12-31 22:39:27.457340
ts:  1969-12-31 22:39:27.438875 - 1969-12-31 22:39:27.457372
ts:  1969-12-31 22:39:27.442875 - 1969-12-31 22:39:27.457396
ts:  1969-12-31 22:39:27.446875 - 1969-12-31 22:39:27.457424
ts:  1969-12-31 22:39:27.450875 - 1969-12-31 22:39:27.457446
ts:  1969-12-31 22:39:27.454875 - 1969-12-31 22:39:27.457484
ts:  1969-12-31 22:39:27.446671 - 1969-12-31 22:39:27.484059
ts:  1969-12-31 22:39:27.450671 - 1969-12-31 22:39:27.484499
ts:  1969-12-31 22:39:27.454671 - 1969-12-31 22:39:27.484746
ts:  1969-12-31 22:39:27.458671 - 1969-12-31 22:39:27.485052
ts:  1969-12-31 22:39:27.462671 - 1969-12-31 22:39:27.485274
ts:  1969-12-31 22:39:27.466671 - 1969-12-31 22:39:27.485399
ts:  1969-12-31 22:39:27.470671 - 1969-12-31 22:39:27.485506
ts:  1969-12-31 22:39:27.474671 - 1969-12-31 22:39:27.485662
ts:  1969-12-31 22:39:27.478671 - 1969-12-31 22:39:27.485702
ts:  1969-12-31 22:39:27.482671 - 1969-12-31 22:39:27.485727
ts:  1969-12-31 22:39:27.472481 - 1969-12-31 22:39:27.509981
ts:  1969-12-31 22:39:27.476481 - 1969-12-31 22:39:27.510350
ts:  1969-12-31 22:39:27.480481 - 1969-12-31 22:39:27.510693
ts:  1969-12-31 22:39:27.484481 - 1969-12-31 22:39:27.510812
