Inicio...
Resolving a Control stream...

Corrida N#:  0
[0, 0, 1, 1]
ts:  1969-12-31 22:16:47.702990 - 1969-12-31 22:16:47.728185
ts:  1969-12-31 22:16:47.706990 - 1969-12-31 22:16:47.728206
ts:  1969-12-31 22:16:47.710990 - 1969-12-31 22:16:47.728227
ts:  1969-12-31 22:16:47.714990 - 1969-12-31 22:16:47.728264
ts:  1969-12-31 22:16:47.718990 - 1969-12-31 22:16:47.728286
ts:  1969-12-31 22:16:47.722990 - 1969-12-31 22:16:47.728306
ts:  1969-12-31 22:16:47.726990 - 1969-12-31 22:16:47.728326
ts:  1969-12-31 22:16:47.717137 - 1969-12-31 22:16:47.753979
ts:  1969-12-31 22:16:47.721137 - 1969-12-31 22:16:47.754076
ts:  1969-12-31 22:16:47.725137 - 1969-12-31 22:16:47.754109
ts:  1969-12-31 22:16:47.729137 - 1969-12-31 22:16:47.754133
ts:  1969-12-31 22:16:47.733137 - 1969-12-31 22:16:47.754165
ts:  1969-12-31 22:16:47.737137 - 1969-12-31 22:16:47.754205
ts:  1969-12-31 22:16:47.741137 - 1969-12-31 22:16:47.754346
ts:  1969-12-31 22:16:47.745137 - 1969-12-31 22:16:47.754491
ts:  1969-12-31 22:16:47.749137 - 1969-12-31 22:16:47.754799
ts:  1969-12-31 22:16:47.753137 - 1969-12-31 22:16:47.755137
ts:  1969-12-31 22:16:47.744600 - 1969-12-31 22:16:47.782376
ts:  1969-12-31 22:16:47.748600 - 1969-12-31 22:16:47.782927
ts:  1969-12-31 22:16:47.752600 - 1969-12-31 22:16:47.783385
ts:  1969-12-31 22:16:47.756600 - 1969-12-31 22:16:47.783680
ts:  1969-12-31 22:16:47.760600 - 1969-12-31 22:16:47.783964
ts:  1969-12-31 22:16:47.764600 - 1969-12-31 22:16:47.784349
ts:  1969-12-31 22:16:47.768600 - 1969-12-31 22:16:47.784496
ts:  1969-12-31 22:16:47.772600 - 1969-12-31 22:16:47.784599
ts:  1969-12-31 22:16:47.776600 - 1969-12-31 22:16:47.784660
ts:  1969-12-31 22:16:47.780600 - 1969-12-31 22:16:47.784718
ts:  1969-12-31 22:16:47.771248 - 1969-12-31 22:16:47.808323
ts:  1969-12-31 22:16:47.775248 - 1969-12-31 22:16:47.808792
ts:  1969-12-31 22:16:47.779248 - 1969-12-31 22:16:47.808920
ts:  1969-12-31 22:16:47.783248 - 1969-12-31 22:16:47.809009
ts:  1969-12-31 22:16:47.787248 - 1969-12-31 22:16:47.809105
ts:  1969-12-31 22:16:47.791248 - 1969-12-31 22:16:47.809195
ts:  1969-12-31 22:16:47.795248 - 1969-12-31 22:16:47.809243
ts:  1969-12-31 22:16:47.799248 - 1969-12-31 22:16:47.809272
ts:  1969-12-31 22:16:47.803248 - 1969-12-31 22:16:47.809298
ts:  1969-12-31 22:16:47.807248 - 1969-12-31 22:16:47.809335
ts:  1969-12-31 22:16:47.797267 - 1969-12-31 22:16:47.834088
ts:  1969-12-31 22:16:47.801267 - 1969-12-31 22:16:47.834294
ts:  1969-12-31 22:16:47.805267 - 1969-12-31 22:16:47.834357
ts:  1969-12-31 22:16:47.809267 - 1969-12-31 22:16:47.834412
ts:  1969-12-31 22:16:47.813267 - 1969-12-31 22:16:47.834445
ts:  1969-12-31 22:16:47.817267 - 1969-12-31 22:16:47.834476
ts:  1969-12-31 22:16:47.821267 - 1969-12-31 22:16:47.834530
ts:  1969-12-31 22:16:47.825267 - 1969-12-31 22:16:47.834570
ts:  1969-12-31 22:16:47.829267 - 1969-12-31 22:16:47.834599
ts:  1969-12-31 22:16:47.833267 - 1969-12-31 22:16:47.834627
ts:  1969-12-31 22:16:47.824015 - 1969-12-31 22:16:47.861584
ts:  1969-12-31 22:16:47.828015 - 1969-12-31 22:16:47.861773
ts:  1969-12-31 22:16:47.832015 - 1969-12-31 22:16:47.861838
ts:  1969-12-31 22:16:47.836015 - 1969-12-31 22:16:47.861887
ts:  1969-12-31 22:16:47.840015 - 1969-12-31 22:16:47.861922
